Short Description|CVX Code|Vaccine Status|Vaccine Group Name|CVX for Vaccine Group
Influenza A monovalent (H5N1) - ADJUVANTED-2013|160|Active|H5N1 flu|123
Influenza - injectable,quadrivalent - preservative free - pediatric|161|Active|FLU|88
meningococcal B - recombinant|162|Active|MeningB|164
meningococcal B - OMV|163|Active|MeningB|164
meningococcal B - unspecified|164|Inactive|MeningB|164
HPV9|165|Active|HPV|137
influenza - intradermal - quadrivalent - preservative free|166|Active|FLU|88
influenza - trivalent - adjuvanted|168|Active|FLU|88
Hib - unspecified formulation|17|Inactive|HIB|17
DTAP/IPV/HIB - non-US|170|Non-US|DTAP|107
DTAP/IPV/HIB - non-US|170|Non-US|HIB|17
DTAP/IPV/HIB - non-US|170|Non-US|POLIO|89
Influenza - injectable - MDCK - preservative free - quadrivalent|171|Active|FLU|88
cholera - WC-rBS|172|Non-US|cholera|26
cholera - BivWC|173|Non-US|cholera|26
cholera - live attenuated|174|Active|cholera|26
Rabies - IM Diploid cell culture|175|Active|RABIES|90
Rabies - IM fibroblast culture|176|Active|RABIES|90
PCV10|177|Non-US|PneumoPCV|152
rabies - intramuscular injection|18|Inactive|RABIES|90
Yellow fever vaccine - alt|183|Active|YELLOWFEVER|184
Yellow fever - unspecified formulation|184|Inactive|YELLOWFEVER|184
influenza - recombinant - quadrivalent,injectable - preservative free|185|Active|FLU|88
Influenza - injectable - MDCK - quadrivalent - preservative|186|Active|FLU|88
zoster recombinant|187|Active|ZOSTER|188
zoster - unspecified formulation|188|Inactive|ZOSTER|188
HepB-CpG|189|Active|HepB|45
BCG|19|Active|BCG|19
Hep A-Hep B - pediatric/adolescent|193|Non-US|HepB|45
Hep A-Hep B - pediatric/adolescent|193|Non-US|HepA|85
Influenza - Southern Hemisphere|194|Inactive|FLU|88
DT - IPV adsorbed|195|Non-US|POLIO|89
DT - IPV adsorbed|195|Non-US|Td|139
Td - adsorbed - preservative free - adult use - Lf unspecified|196|Active|Td|139
influenza - high-dose - quadrivalent|197|Active|FLU|88
DTaP|20|Active|DTAP|107
influenza - Southern Hemisphere - pediatric - preservative free|200|Active|FLU|88
influenza - Southern Hemisphere - preservative free|201|Active|FLU|88
influenza - Southern Hemisphere - quadrivalent - with preservative|202|Active|FLU|88
meningococcal polysaccharide (groups A - C - Y - W-135) TT conjugate|203|Active|MENING|108
Ebola Zaire vaccine - live - recombinant - 1mL dose|204|Active|Ebola|214
Influenza vaccine - quadrivalent - adjuvanted|205|Active|FLU|88
Smallpox monkeypox vaccine (National Stockpile)|206|Active|VACCINIA|75
COVID-19 - mRNA - LNP-S - PF - 100 mcg/0.5 mL dose|207|Active|COVID-19|213
COVID-19 - mRNA - LNP-S - PF - 30 mcg/0.3 mL dose|208|Active|COVID-19|213
varicella|21|Active|VARICELLA|21
COVID-19 vaccine - vector-nr - rS-ChAdOx1 - PF - 0.5 mL |210|Non-US|COVID-19|213
COVID-19 vaccine - Subunit - rS-nanoparticle+Matrix-M1 Adjuvant - PF - 0.5 mL|211|Active|COVID-19|213
COVID-19 vaccine - vector-nr - rS-Ad26 - PF - 0.5 mL|212|Active|COVID-19|213
SARS-COV-2 (COVID-19) vaccine - UNSPECIFIED|213|Inactive|COVID-19|213
Ebola - unspecified|214|Inactive|Ebola|214
DTP-Hib|22|Inactive|DTAP|107
DTP-Hib|22|Inactive|HIB|17
plague|23|Inactive|Plague|23
anthrax|24|Active|ANTHRAX|24
typhoid - oral|25|Active|TYPHOID|91
cholera - unspecified formulation|26|Inactive|cholera|26
DT (pediatric)|28|Active|DTAP|107
Hep A - pediatric - unspecified formulation|31|Inactive|HepA|85
meningococcal MPSV4|32|Inactive|MENING|108
pneumococcal polysaccharide PPV23|33|Active|PneumoPPV|33
yellow fever|37|Active|YELLOWFEVER|184
rubella/mumps|38|Inactive|MMR|03
Japanese encephalitis SC|39|Inactive|Japanese encephalitis|129
rabies - intradermal injection|40|Inactive|RABIES|90
typhoid - parenteral|41|Inactive|TYPHOID|91
Hep B - adolescent/high risk infant|42|Inactive|HepB|45
Hep B - adult|43|Active|HepB|45
Hep B - dialysis|44|Active|HepB|45
Hep B - unspecified formulation|45|Inactive|HepB|45
Hib (PRP-D)|46|Inactive|HIB|17
Hib (HbOC)|47|Inactive|HIB|17
Hib (PRP-T)|48|Active|HIB|17
Hib (PRP-OMP)|49|Active|HIB|17
DTaP-Hib|50|Inactive|DTAP|107
DTaP-Hib|50|Inactive|HIB|17
COVID-19 Non-US Vaccine - Product Unknown|500|Non-US|COVID-19|213
COVID-19 IV Non-US Vaccine (QAZCOVID-IN)|501|Non-US|COVID-19|213
COVID-19 IV Non-US Vaccine (COVAXIN)|502|Non-US|COVID-19|213
COVID-19 LAV Non-US Vaccine (COVIVAC)|503|Non-US|COVID-19|213
COVID-19 VVnr Non-US Vaccine (Sputnik Light)|504|Non-US|COVID-19|213
COVID-19 VVnr Non-US Vaccine (Sputnik V)|505|Non-US|COVID-19|213
COVID-19 VVnr Non-US Vaccine (CanSino Biological Inc./Beijing Institute of Biotechnology)|506|Non-US|COVID-19|213
COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom Biopharmaceutical + Institute of Microbiology - Chinese Academy of Sciences|507|Non-US|COVID-19|213
COVID-19 PS Non-US Vaccine (Jiangsu Province Centers for Disease Control and Prevention)|508|Non-US|COVID-19|213
COVID-19 PS Non-US Vaccine (EpiVacCorona)|509|Non-US|COVID-19|213
Hib-Hep B|51|Inactive|HIB|17
Hib-Hep B|51|Inactive|HepB|45
COVID-19 IV Non-US Vaccine (BIBP - Sinopharm)|510|Non-US|COVID-19|213
COVID-19 IV Non-US Vaccine (CoronaVac - Sinovac)|511|Non-US|COVID-19|213
Hep A - adult|52|Active|HepA|85
typhoid - parenteral - AKD (U.S. military)|53|Inactive|TYPHOID|91
adenovirus - type 4|54|Inactive|ADENO|82
adenovirus - type 7|55|Inactive|ADENO|82
dengue fever|56|Active|DENGUE|56
HPV - quadrivalent|62|Active|HPV|137
Lyme disease|66|Inactive|Lyme disease|66
rotavirus - tetravalent|74|Inactive|ROTAVIRUS|122
vaccinia (smallpox)|75|Active|VACCINIA|75
VEE - live|80|Inactive|VEE|92
VEE - inactivated|81|Inactive|VEE|92
adenovirus - unspecified formulation|82|Inactive|ADENO|82
Hep A - ped/adol - 2 dose|83|Active|HepA|85
Hep A - ped/adol - 3 dose|84|Inactive|HepA|85
Hep A - unspecified formulation|85|Inactive|HepA|85
influenza - unspecified formulation|88|Inactive|FLU|88
polio - unspecified formulation|89|Inactive|POLIO|89
rabies - unspecified formulation|90|Inactive|RABIES|90
typhoid - unspecified formulation|91|Inactive|TYPHOID|91
VEE - unspecified formulation|92|Inactive|VEE|92
MMRV|94|Active|MMR|03
MMRV|94|Active|VARICELLA|21
