"sequence_number"|"sale_ndc11"|"sale_ndc11_clean"|"sale_proprietary_name"|"sale_labeler"|"start_date"|"end_date"|"sale_gtin"|"sale_last_update"|"use_ndc11"|"no_use_ndc"|"use_gtin"|"use_last_update"|"cvx_code"|"cvx_description"|"mvx_code"
"11"|"00006-4047-20"|"00006404720"|"RotaTeq"|"Merck Sharp & Dohme Corp."|"02/03/2006"|""|"00300064047202"|"12/07/2017"|"00006-4047-01"|"False"|"00300064047011"|"09/08/2020"|"116"|"rotavirus, pentavalent"|"MSD"
"12"|"00006-4047-41"|"00006404741"|"RotaTeq"|"Merck Sharp & Dohme Corp."|"02/03/2006"|""|"00300064047417"|"12/07/2017"|"00006-4047-02"|"False"|""|"12/03/2020"|"116"|"rotavirus, pentavalent"|"MSD"
"13"|"00006-4047-41"|"00006404741"|"RotaTeq"|"Merck Sharp & Dohme Corp."|"02/03/2006"|""|"00300064047417"|"12/07/2017"|"00006-4047-01"|"False"|"00300064047011"|"09/08/2020"|"116"|"rotavirus, pentavalent"|"MSD"
"14"|"00006-4093-02"|"00006409302"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064093025"|"07/11/2018"|"00006-4093-01"|"False"|"00300064093018"|"11/20/2017"|"08"|"Hep B, adolescent or pediatric"|"MSD"
"15"|"00006-4093-09"|"00006409309"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064093094"|"07/13/2018"|"00006-4093-01"|"False"|"00300064093018"|"11/20/2017"|"08"|"Hep B, adolescent or pediatric"|"MSD"
"16"|"00006-4094-02"|"00006409402"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064094022"|"07/12/2018"|"00006-4094-01"|"False"|"00300064094015"|"11/20/2017"|"43"|"Hep B, adult"|"MSD"
"17"|"00006-4094-09"|"00006409409"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064094091"|"07/13/2018"|"00006-4094-01"|"False"|"00300064094015"|"11/20/2017"|"43"|"Hep B, adult"|"MSD"
"18"|"00006-4095-02"|"00006409502"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|""|"00300064095029"|"07/11/2018"|"00006-4095-01"|"False"|"00300064095012"|"11/20/2017"|"83"|"Hep A, ped/adol, 2 dose"|"MSD"
"19"|"00006-4095-09"|"00006409509"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|"04/30/2019"|"00300064095098"|"05/21/2019"|"00006-4095-01"|"False"|"00300064095012"|"11/20/2017"|"83"|"Hep A, ped/adol, 2 dose"|"MSD"
"20"|"00006-4096-02"|"00006409602"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|""|"00300064096026"|"08/22/2018"|"00006-4096-01"|"False"|"00300064096019"|"11/20/2017"|"52"|"Hep A, adult"|"MSD"
"21"|"00006-4096-09"|"00006409609"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|"04/30/2019"|"00300064096095"|"05/21/2019"|"00006-4096-01"|"False"|"00300064096019"|"11/20/2017"|"52"|"Hep A, adult"|"MSD"
"22"|"00006-4109-02"|"00006410902"|"GARDASIL"|"Merck Sharp & Dohme Corp."|"06/08/2006"|""|""|"12/07/2017"|"00006-4109-01"|"False"|"00300064109016"|"11/20/2017"|"62"|"HPV, quadrivalent"|"MSD"
"23"|"00006-4109-09"|"00006410909"|"GARDASIL"|"Merck Sharp & Dohme Corp."|"06/08/2006"|""|""|"12/07/2017"|"00006-4109-01"|"False"|"00300064109016"|"11/20/2017"|"62"|"HPV, quadrivalent"|"MSD"
"24"|"00006-4119-02"|"00006411902"|"GARDASIL 9"|"Merck Sharp & Dohme Corp."|"12/10/2014"|"04/30/2019"|"00300064119022"|"05/29/2019"|"00006-4119-01"|"False"|"00300064119015"|"11/20/2017"|"165"|"HPV9"|"MSD"
"25"|"00006-4119-03"|"00006411903"|"GARDASIL 9"|"Merck Sharp & Dohme Corp."|"12/10/2014"|""|"00300064119039"|"12/07/2017"|"00006-4119-01"|"False"|"00300064119015"|"11/20/2017"|"165"|"HPV9"|"MSD"
"26"|"00006-4121-02"|"00006412102"|"GARDASIL 9"|"Merck Sharp & Dohme Corp."|"12/10/2014"|""|"00300064121025"|"12/07/2017"|"00006-4121-01"|"False"|"00300064121018"|"11/20/2017"|"165"|"HPV9"|"MSD"
"27"|"00006-4133-41"|"00006413341"|"Tetanus and Diphtheria Toxoids Adsorbed"|"Merck Sharp & Dohme Corp."|"07/27/1970"|"06/02/2014"|""|"07/22/2014"|"00006-4133-01"|"False"|""|"07/03/2018"|"09"|"Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed"|"MSD"
"28"|"00006-4171-00"|"00006417100"|"ProQuad"|"Merck Sharp & Dohme Corp."|"08/01/2015"|""|"00300064171006"|"12/07/2017"|"00006-4171-01"|"False"|"00300064171013"|"11/20/2017"|"94"|"MMRV"|"MSD"
"29"|"00006-4681-00"|"00006468100"|"M-M-R II"|"Merck Sharp & Dohme Corp."|"04/21/1971"|""|"00300064681000"|"12/07/2017"|"00006-4681-01"|"False"|"00300064681017"|"11/20/2017"|"03"|"MMR"|"MSD"
"30"|"00006-4739-00"|"00006473900"|"PNEUMOVAX 23"|"Merck Sharp & Dohme Corp."|"07/07/1983"|"04/30/2019"|""|"05/21/2019"|"00006-4739-01"|"False"|"00300064739015"|"05/21/2019"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"31"|"00006-4826-00"|"00006482600"|"VARIVAX"|"Merck Sharp & Dohme Corp."|"03/17/1995"|""|"00300064826005"|"12/07/2017"|"00006-4826-01"|"False"|"00300064826012"|"11/20/2017"|"21"|"varicella"|"MSD"
"32"|"00006-4827-00"|"00006482700"|"VARIVAX"|"Merck Sharp & Dohme Corp."|"03/17/1995"|""|"00300064827002"|"12/07/2017"|"00006-4827-01"|"False"|"00300064827019"|"11/20/2017"|"21"|"varicella"|"MSD"
"33"|"00006-4831-41"|"00006483141"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|""|"00300064831412"|"12/07/2017"|"00006-4831-01"|"False"|"00300064831016"|"11/20/2017"|"83"|"Hep A, ped/adol, 2 dose"|"MSD"
"34"|"00006-4837-02"|"00006483702"|"PNEUMOVAX 23"|"Merck Sharp & Dohme Corp."|"07/21/2014"|"01/01/2020"|""|"01/21/2020"|"00006-4837-01"|"False"|"00300064837018"|"07/13/2018"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"35"|"00006-4837-03"|"00006483703"|"PNEUMOVAX 23"|"Merck Sharp & Dohme Corp."|"05/30/2014"|""|""|"07/13/2018"|"00006-4837-01"|"False"|"00300064837018"|"07/13/2018"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"36"|"00006-4841-00"|"00006484100"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|""|"00300064841008"|"12/07/2017"|"00006-4841-01"|"False"|"00300064841015"|"11/20/2017"|"52"|"Hep A, adult"|"MSD"
"37"|"00006-4841-41"|"00006484141"|"VAQTA"|"Merck Sharp & Dohme Corp."|"03/29/1996"|""|"00300064841411"|"12/07/2017"|"00006-4841-01"|"False"|"00300064841015"|"11/20/2017"|"52"|"Hep A, adult"|"MSD"
"38"|"00006-4897-00"|"00006489700"|"PedvaxHIB"|"Merck Sharp & Dohme Corp."|"12/20/1989"|""|"00300064897005"|"12/07/2017"|"00006-4897-01"|"False"|"00300064897012"|"11/20/2017"|"49"|"Hib (PRP-OMP)"|"MSD"
"39"|"00006-4898-00"|"00006489800"|"COMVAX"|"Merck Sharp & Dohme Corp."|"10/02/1996"|"12/31/2014"|""|"05/30/2018"|"00006-4898-01"|"False"|"00300064898019"|"05/30/2018"|"51"|"Hib-Hep B"|"MSD"
"40"|"00006-4943-00"|"00006494300"|"PNEUMOVAX 23"|"Merck Sharp & Dohme Corp."|"07/07/1983"|""|"00300064943009"|"07/13/2018"|"00006-4943-01"|"False"|"00300064943016"|"11/20/2017"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"41"|"00006-4963-00"|"00006496300"|"ZOSTAVAX"|"Merck Sharp & Dohme Corp."|"05/25/2006"|""|"00300064963007"|"07/11/2018"|"00006-4963-01"|"False"|"00300064963014"|"11/20/2017"|"121"|"zoster live"|"MSD"
"42"|"00006-4963-41"|"00006496341"|"ZOSTAVAX"|"Merck Sharp & Dohme Corp."|"05/25/2006"|""|"00300064963410"|"07/11/2018"|"00006-4963-01"|"False"|"00300064963014"|"11/20/2017"|"121"|"zoster live"|"MSD"
"43"|"00006-4980-00"|"00006498000"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|"09/19/2008"|""|"07/13/2018"|"00006-4980-00"|"True"|""|"11/20/2017"|"08"|"Hep B, adolescent or pediatric"|"MSD"
"44"|"00006-4981-00"|"00006498100"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064981001"|"07/13/2018"|"00006-4981-01"|"False"|"00300064981018"|"11/20/2017"|"08"|"Hep B, adolescent or pediatric"|"MSD"
"45"|"00006-4992-00"|"00006499200"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064992007"|"07/13/2018"|"00006-4992-01"|"False"|"00300064992014"|"11/20/2017"|"44"|"Hep B, dialysis"|"MSD"
"46"|"00006-4995-00"|"00006499500"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|""|""|"00300064995008"|"07/13/2018"|"00006-4995-01"|"False"|"00300064995015"|"11/20/2017"|"43"|"Hep B, adult"|"MSD"
"47"|"00006-4995-41"|"00006499541"|"RECOMBIVAX HB"|"Merck Sharp & Dohme Corp."|"07/23/1986"|""|"00300064995411"|"08/06/2018"|"00006-4995-01"|"False"|"00300064995015"|"11/20/2017"|"43"|"Hep B, adult"|"MSD"
"48"|"00006-4999-00"|"00006499900"|"ProQuad"|"Merck Sharp & Dohme Corp."|"09/06/2005"|"07/31/2015"|"00300064999006"|"09/13/2018"|"00006-4999-01"|"False"|"00300064999013"|"09/13/2018"|"94"|"MMRV"|"MSD"
"49"|"00052-0603-02"|"00052060302"|"BCG VACCINE"|"Merck Sharp & Dohme Corp."|"06/21/1989"|""|""|"06/14/2021"|"00052-0603-01"|"False"|""|"06/14/2021"|"19"|"BCG"|"MSD"
"50"|"00310-1222-15"|"00310122215"|"ASTRAZENECA COVID-19 VACCINE"|"AstraZeneca Pharmaceuticals LP"|"12/22/2020"|"07/31/2021"|""|"07/27/2021"|"00310-1222-10"|"False"|""|"07/27/2021"|"210"|"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL "|"ASZ"
"51"|"13533-0131-01"|"13533013101"|"TDVAX"|"GRIFOLS USA, LLC"|"07/01/2015"|""|""|"11/22/2019"|"13533-0131-00"|"False"|""|"11/22/2019"|"09"|"Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed"|"MBL"
"52"|"14362-0111-04"|"14362011104"|"TDVAX"|"MassBiologics"|"07/27/1970"|""|""|"06/27/2019"|"14362-0111-03"|"False"|""|"06/27/2019"|"09"|"Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed"|"MBL"
"53"|"17478-0131-01"|"17478013101"|"Tetanus and Diphtheria Toxoids Adsorbed"|"Akorn, Inc."|"02/15/2013"|"04/27/2017"|""|"07/06/2018"|"17478-0131-00"|"False"|""|"05/30/2018"|"09"|"Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed"|"MBL"
"54"|"19515-0816-52"|"19515081652"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/02/2020"|"06/30/2021"|""|"07/06/2021"|"19515-0816-41"|"False"|""|"07/06/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"55"|"19515-0818-52"|"19515081852"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/02/2021"|""|""|"07/19/2021"|"19515-0818-41"|"False"|""|"07/19/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"56"|"19515-0845-11"|"19515084511"|"FLULAVAL"|"ID Biomedical"|"10/30/2015"|"10/31/2015"|""|"07/12/2018"|"19515-0845-01"|"False"|""|"07/03/2018"|"141"|"Influenza, seasonal, injectable"|"IDB"
"57"|"19515-0850-52"|"19515085052"|"FLULAVAL"|"ID Biomedical"|"07/01/2015"|"10/31/2015"|""|"07/12/2018"|"19515-0850-41"|"False"|""|"07/03/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"IDB"
"58"|"19515-0889-07"|"19515088907"|"FLULAVAL"|"ID Biomedical Corporation of Quebec"|"07/20/2012"|"07/01/2013"|""|"12/07/2017"|"19515-0889-02"|"False"|""|"11/20/2017"|"141"|"Influenza, seasonal, injectable"|"IDB"
"59"|"19515-0890-07"|"19515089007"|"FLULAVAL"|"ID Biomedical Corporation of Quebec"|"07/01/2013"|"06/30/2014"|""|"12/07/2017"|"19515-0890-02"|"False"|""|"11/20/2017"|"141"|"Influenza, seasonal, injectable"|"IDB"
"60"|"19515-0891-11"|"19515089111"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2014"|"06/30/2015"|""|"05/30/2018"|"19515-0891-01"|"False"|""|"05/30/2018"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"61"|"19515-0893-07"|"19515089307"|"FLULAVAL"|"ID Biomedical Corporation of Quebec"|"07/01/2014"|"06/30/2015"|""|"05/30/2018"|"19515-0893-02"|"False"|"00319515893022"|"05/30/2018"|"141"|"Influenza, seasonal, injectable"|"IDB"
"62"|"19515-0894-52"|"19515089452"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2014"|"06/30/2015"|""|"05/30/2018"|"19515-0894-41"|"False"|""|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"63"|"19515-0895-11"|"19515089511"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"08/15/2013"|"06/30/2014"|""|"12/07/2017"|"19515-0895-01"|"False"|""|"11/20/2017"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"64"|"19515-0896-11"|"19515089611"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/07/2017"|"06/30/2018"|"00319515896115"|"07/09/2018"|"19515-0896-01"|"False"|"00319515896016"|"07/09/2018"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"65"|"19515-0897-11"|"19515089711"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/02/2019"|"06/30/2020"|""|"07/14/2020"|"19515-0897-01"|"False"|""|"07/13/2020"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"66"|"19515-0898-11"|"19515089811"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2015"|"06/30/2016"|""|"05/30/2018"|"19515-0898-01"|"False"|"00319515898010"|"05/30/2018"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"67"|"19515-0900-11"|"19515090011"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"06/29/2018"|"06/30/2019"|"00319515900119"|"07/16/2019"|"19515-0900-01"|"False"|"00319515900010"|"07/16/2019"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"68"|"19515-0901-52"|"19515090152"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2015"|"06/30/2016"|""|"05/30/2018"|"19515-0901-41"|"False"|"00319515901413"|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"69"|"19515-0903-11"|"19515090311"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"19515-0903-01"|"False"|""|"07/03/2018"|"158"|"influenza, injectable, quadrivalent"|"IDB"
"70"|"19515-0906-52"|"19515090652"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/02/2019"|"06/30/2020"|""|"07/14/2020"|"19515-0906-41"|"False"|""|"07/13/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"71"|"19515-0908-52"|"19515090852"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"19515-0908-41"|"False"|""|"07/03/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"72"|"19515-0909-52"|"19515090952"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"06/29/2018"|"06/30/2019"|"00319515909525"|"07/16/2019"|"19515-0909-41"|"False"|"00319515909419"|"07/16/2019"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"73"|"19515-0912-52"|"19515091252"|"Flulaval Quadrivalent"|"ID Biomedical Corporation of Quebec"|"07/07/2017"|"06/30/2018"|"00319515912525"|"07/09/2018"|"19515-0912-41"|"False"|"00319515912419"|"07/09/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"IDB"
"74"|"21695-0413-01"|"21695041301"|"Tetanus and Diphtheria Toxoids Adsorbed"|"Rebel Distributors"|"10/13/1967"|"10/04/2019"|""|"10/15/2019"|"21695-0413-01"|"True"|""|"10/11/2019"|"09"|"Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed"|"MBL"
"75"|"33332-0010-01"|"33332001001"|"AFLURIA"|"CSL Limited"|"07/30/2010"|"06/30/2011"|""|"01/29/2018"|"33332-0010-01"|"True"|""|"02/27/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"CSL"
"76"|"33332-0013-01"|"33332001301"|"AFLURIA"|"CSL Limited"|"07/01/2013"|"06/30/2014"|""|"07/13/2018"|"33332-0013-02"|"False"|""|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"CSL"
"77"|"33332-0014-01"|"33332001401"|"AFLURIA"|"CSL Limited"|"07/15/2014"|"06/30/2015"|""|"12/07/2017"|"33332-0014-02"|"False"|""|"07/03/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"CSL"
"78"|"33332-0015-01"|"33332001501"|"AFLURIA"|"bioCSL Pty Ltd."|"07/01/2015"|"06/30/2016"|""|"10/08/2019"|"33332-0015-02"|"False"|""|"10/08/2019"|"140"|"Influenza, seasonal, injectable, preservative free"|"CSL"
"79"|"33332-0016-01"|"33332001601"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"33332-0016-02"|"False"|""|"07/03/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SEQ"
"80"|"33332-0017-01"|"33332001701"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2017"|"06/30/2018"|""|"08/13/2018"|"33332-0017-02"|"False"|""|"08/13/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SEQ"
"81"|"33332-0018-01"|"33332001801"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2018"|"12/20/2019"|""|"01/21/2020"|"33332-0018-02"|"False"|""|"01/21/2020"|"140"|"Influenza, seasonal, injectable, preservative free"|"SEQ"
"82"|"33332-0110-10"|"33332011010"|"AFLURIA"|"CSL Limited"|"07/30/2010"|"06/30/2011"|""|"01/29/2018"|"33332-0110-10"|"True"|""|"01/29/2018"|"141"|"Influenza, seasonal, injectable"|"CSL"
"83"|"33332-0113-10"|"33332011310"|"AFLURIA"|"CSL Limited"|"07/01/2013"|"06/30/2014"|""|"07/13/2018"|"33332-0113-11"|"False"|""|"07/03/2018"|"141"|"Influenza, seasonal, injectable"|"CSL"
"84"|"33332-0114-10"|"33332011410"|"AFLURIA"|"CSL Limited"|"07/15/2014"|"06/30/2015"|""|"07/13/2018"|"33332-0114-11"|"False"|""|"07/03/2018"|"141"|"Influenza, seasonal, injectable"|"CSL"
"85"|"33332-0115-10"|"33332011510"|"AFLURIA"|"bioCSL Pty Ltd."|"07/01/2015"|"06/30/2016"|""|"10/08/2019"|"33332-0115-11"|"False"|""|"10/08/2019"|"141"|"Influenza, seasonal, injectable"|"CSL"
"86"|"33332-0116-10"|"33332011610"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"33332-0116-11"|"False"|""|"07/03/2018"|"141"|"Influenza, seasonal, injectable"|"SEQ"
"87"|"33332-0117-10"|"33332011710"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2017"|"06/30/2018"|""|"08/13/2018"|"33332-0117-11"|"False"|""|"08/13/2018"|"141"|"Influenza, seasonal, injectable"|"SEQ"
"88"|"33332-0118-10"|"33332011810"|"AFLURIA"|"Seqirus Pty Ltd"|"07/01/2018"|"12/20/2019"|""|"01/21/2020"|"33332-0118-11"|"False"|""|"01/21/2020"|"141"|"Influenza, seasonal, injectable"|"SEQ"
"89"|"33332-0219-20"|"33332021920"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/02/2019"|"07/31/2020"|"00333332219209"|"07/20/2020"|"33332-0219-21"|"False"|"00333332219216"|"07/20/2020"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"SEQ"
"90"|"33332-0220-20"|"33332022020"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/02/2020"|""|""|"07/14/2020"|"33332-0220-21"|"False"|""|"07/14/2020"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"SEQ"
"91"|"33332-0316-01"|"33332031601"|"AFLURIA QUADRIVALENT"|"Seqirus"|"07/01/2016"|"06/30/2017"|""|"07/13/2018"|"33332-0316-02"|"False"|""|"07/03/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SEQ"
"92"|"33332-0317-01"|"33332031701"|"AFLURIA QUADRIVALENT"|"Seqirus Pty Ltd"|"07/01/2017"|"06/30/2018"|""|"08/13/2018"|"33332-0317-02"|"False"|""|"08/13/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SEQ"
"93"|"33332-0318-01"|"33332031801"|"AFLURIA QUADRIVALENT"|"Seqirus Pty Ltd"|"07/01/2018"|"06/30/2019"|""|"12/20/2019"|"33332-0318-02"|"False"|""|"12/20/2019"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SEQ"
"94"|"33332-0319-01"|"33332031901"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/01/2019"|"07/31/2020"|"00333332319015"|"07/20/2020"|"33332-0319-02"|"False"|"00333332319022"|"07/20/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SEQ"
"95"|"33332-0320-01"|"33332032001"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/02/2020"|""|""|"07/14/2020"|"33332-0320-02"|"False"|""|"07/14/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SEQ"
"96"|"33332-0416-10"|"33332041610"|"AFLURIA QUADRIVALENT"|"Seqirus"|"07/01/2016"|"06/30/2017"|""|"07/13/2018"|"33332-0416-11"|"False"|""|"07/03/2018"|"158"|"influenza, injectable, quadrivalent"|"SEQ"
"97"|"33332-0417-10"|"33332041710"|"AFLURIA QUADRIVALENT"|"Seqirus Pty Ltd"|"08/16/2017"|"06/30/2018"|""|"08/13/2018"|"33332-0417-11"|"False"|""|"08/13/2018"|"158"|"influenza, injectable, quadrivalent"|"SEQ"
"98"|"33332-0418-10"|"33332041810"|"AFLURIA QUADRIVALENT"|"Seqirus Pty Ltd"|"07/01/2018"|"06/30/2019"|""|"12/20/2019"|"33332-0418-11"|"False"|""|"12/20/2019"|"158"|"influenza, injectable, quadrivalent"|"SEQ"
"99"|"33332-0419-10"|"33332041910"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/01/2019"|"07/31/2020"|"00333332419104"|"07/20/2020"|"33332-0419-11"|"False"|"00333332419111"|"07/20/2020"|"158"|"influenza, injectable, quadrivalent"|"SEQ"
"100"|"33332-0420-10"|"33332042010"|"Afluria Quadrivalent"|"Seqirus Pty Ltd."|"07/02/2020"|""|""|"07/14/2020"|"33332-0420-11"|"False"|""|"07/14/2020"|"158"|"influenza, injectable, quadrivalent"|"SEQ"
"101"|"33332-0519-01"|"33332051901"|"Influenza A"|"CSL Limited"|"07/01/2009"|"06/30/2010"|""|"01/29/2018"|"33332-0519-01"|"True"|""|"01/29/2018"|"126"|"Novel influenza-H1N1-09, preservative-free"|"CSL"
